PRE-MIGRATION
12
20
9
8
8
8
9
8
8
8
8
17
8
17
8
8
24
8
9
8
24
8
30
15
4
8
9
7
16
9
8
8
8
8
8
17
9
8
16
9
9
8
1
1
0
1
0
1
0
0
0
0
1
8
1
0
1
1
0
1
0
0
0
1
0
0
0
1
1
0
1
0
1
0
0
1
0
0
1
0
1
1
1
0
1
0
0
0
9
9
8
8
7
16
7
9
9
8
9
8
9
8
8
7
9
8
8
16
25
16
9
8
8
8
8
16
8
8
9
17
9
16
9
7
16
17
6
17
9
8
8
8
8
8
8
17
8
8
8
7
9
8
8
8
8
16
9
8
17
9
8
8
50
9
8
17
25
8
8
8
16
8
8
8
8
8
7
8
8
8
16
8
17
16
8
8
8
9
16
17
8
7
42
