MIGRATING
8
8
8
8
8
8
8
7
8
4
19
12
12
11
10
4
3
10
12
5
10
10
11
12
6
3
11
12
3
10
10
11
11
13
5
11
3
3
5
9
12
11
3
11
3
4
4
5
70
36
5
4
11
11
11
5
7
11
11
11
11
12
14
21
28
4
3
2
78
12
5
21
3
11
10
7
10
11
7
11
11
6
4
13
10
11
12
11
10
5
11
2
12
4
12
3
11
12
10
12
8
12
3
9
19
3
12
6
13
10
3
13
10
202
3
11
11
5
11
30
19
86
5
10
11
10
10
12
12
11
13
3
12
10
2
12
2
4
11
6
7
11
11
12
11
11
3
4
5
6
19
11
7
11
5
3
11
11
11
10
12
4
2
12
3
5
175
103
8
5
11
13
46
11
79
12
21
11
11
11
11
13
11
12
13
3
13
3
3
12
13
16
11
3
14
2
3
11
3
11
11
5
13
11
109
3
7
13
5
11
12
20
620
291
567
3
10
20
2
15
3
12
10
11
10
2
11
5
5
5
2
10
2
4
11
9
32
8
2
5
12
4
2
11
10
10
11
10
10
3
4
10
10
12
17
11
13
6
6
11
4
12
4
8
7
3
10
10
19
12
4
13
3
10
11
11
11
86
5
11
4
13
5
10
44
16
2
7
4
14
2
5
11
13
9
11
3
13
7
12
4
6
11
14
3
13
4
11
13
3
11
5
12
10
11
5
11
13
7
14
11
22
13
3
11
10
7
32
19
6
3
10
11
13
3
10
3
13
21
11
21
7
7
4
12
12
10
3
2
61
44
44
79
38
69
353
8
11
3
11
15
12
36
55
2
77
14
13
5
12
20
13
10
446
2
10
4
13
2
21
10
44
11
10
12
27
3
15
10
4
4
10
10
10
12
5
10
6
11
2
12
10
19
77
27
12
10
10
14
69
10
10
11
19
44
62
12
29
77
10
5
12
2
11
10
12
411
6
12
3
13
11
5
2
13
11
38
69
28
34
13
10
3
52
63
66
65
81
22
5
2
12
11
21
3
11
10
5
11
4
11
11
10
3
11
3
11
15
3
11
13
3
11
11
3
6
436
163
386
3
12
3
13
11
3
30
13
19
11
13
31
38
10
77
13
3
13
2
2
47
89
3
97
12
107
21
11
12
22
10
11
12
12
10
4
14
6
10
6
11
11
20
11
4
13
21
3
24
28
13
11
10
4
162
8
13
78
13
2
10
11
23
10
11
10
3
3
11
13
11
10
12
3
4
2
22
12
11
9
6
12
9
5
18
15
3
10
69
82
13
45
53
11
19
27
86
79
36
13
11
4
4
4
11
12
13
13
69
52
11
4
458
636
39
10
10
10
5
6
12
11
3
11
20
11
10
36
12
6
69
61
31
14
5
3
12
6
69
11
11
10
4
6
11
6
5
19
10
4
4
20
98
13
4
11
149
11
10
480
517
13
11
11
3
4
13
10
11
3
195
10
4
11
13
18
5
10
45
60
13
10
10
4
3
16
16
9
11
5
10
3
10
4
2
3
3
12
3
146
11
3
11
3
11
10
13
2
3
11
10
61
44
5
11
12
11
77
88
5
641
186
3
4
4
10
6
4
11
7
5
2
11
11
6
11
4
4
11
10
11
12
12
10
11
30
37
38
13
4
4
19
2
6
13
11
27
70
10
3
11
9
5
13
7
13
3
11
3
16
11
4
3
10
2
61
113
11
4
6
17
